ISBN,Title,Author,Original Price,Discounted price,ISBN-10,Series,Published,Format,Language,Number of Pages,Audience,For Ages,For Grades,Publisher,Country of Publication,Dimensions (cm),Weight (kg),Volume Number,Edition Type,Edition Number
9780141347738,,,,,,,,,,,,,,,,,,,,
9780141933412,A Spell of Winter,Helen Dunmore,,15.99,0141933410,,25th October 2007,ePUB,English,320,General Adult,,,Penguin Books Ltd,,,,,,
9780385539265,Little Life,Hanya Yanagihara,,,0385539266,,1st January 2015,E-Book,English,498,General Adult,,,Knopf Doubleday Publishing Group,US,,,,,
9781407034690,Guards! Guards!,Terry Pratchett,,14.99,1407034693,Discworld  Book #8,16th December 2008,ePUB,English,432,General Adult,,,Transworld,,,,,,
9780241322536,Smiley's People,John le Carré,,15.99,0241322537,Penguin Modern Classics,27th September 2018,ePUB,English,464,General Adult,,,Penguin Books Ltd,,,,,,
9780759520844,Healing Back Pain,John E. Sarno,,12.99,0759520844,,15th March 2001,ePUB,English,300,General Adult,,,Grand Central Publishing,US,,,,Digital original,
9780141369709,Jolly Foul Play,Robin Stevens,,9.99,0141369701,A Murder Most Unladylike Mystery  Book 4,24th March 2016,ePUB,English,336,Children,6 - 8 years old,,Penguin Random House Children's UK,,,,4,,
9780857203090,One by One,Chris Carter,,16.99,0857203096,,15th August 2013,ePUB,English,512,General Adult,,,Simon & Schuster UK,,,,,,
9780761187042,The Complete Book of Chalk Lettering,Valerie McKeehan,,23.99,0761187049,,6th October 2015,ePUB,English,144,,,,Workman Publishing Company,,,,,,1
9781405523127,Cross and Burn,Val McDermid,,11.99,1405523123,Tony Hill and Carol Jordan  Book 8,10th October 2013,ePUB,English,448,General Adult,,,"Little, Brown Book Group",,,,8,Digital original,
9781405943147,"Ask Again, Yes",Mary Beth Keane,,15.99,1405943149,,8th August 2019,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9780834821033,How to Be an Adult in Relationships,David Richo,,,0834821036,,18th June 2002,ePUB,English,240,,,,Shambhala,,,,,,
9780307416315,,,,,,,,,,,,,,,,,,,,
9781409021315,Lustrum,Robert Harris,,15.99,1409021319,Cicero Trilogy  Book 2,7th September 2010,ePUB,English,464,General Adult,,,Random House,,,,2,,
9780748129027,What's Tha Up To?,Martyn Johnson,,12.99,0748129022,,15th September 2011,ePUB,English,192,General Adult,,,"Little, Brown Book Group",,,,,Digital original,
9780141969183,Me Before You,Jojo Moyes,,15.99,0141969180,,2nd January 2012,ePUB,English,528,General Adult,0 - 2 years old,,Penguin Books Ltd,,,,,,
9780748110612,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,,11.99,0748110615,No. 1 Ladies' Detective Agency  Book 1,2nd October 2008,ePUB,English,256,General Adult,,,"Little, Brown Book Group",,,,1,Digital original,
9780230757073,,,,,,,,,,,,,,,,,,,,
9780698198586,The Magic of Thinking Big,David J Schwartz,,,0698198581,,2nd December 2014,ePUB,English,256,,,,,,,,,,1
9780748112883,Princeps' Fury,Jim Butcher,,11.99,074811288X,Codex Alera  Book 5,3rd December 2009,ePUB,English,512,General Adult,,,"Little, Brown Book Group",,,,5,Digital original,
9781310928338,Pathfinder's Way,T.A. White,,4.15,1310928339,,20th April 2016,ePUB,English,,,,,T.A. White,,,,,,
9780765376732,The Final Day,Dr William R Forstchen,,,0765376733,One Second After,3rd January 2017,Hardcover,English,352,General Adult,,,FORGE,US,23.5 x 15.88 x 2.54,0.54,,,
9780994865137,Inception,Bianca Scardoni,,,0994865139,,30th September 2015,ePUB,,394,,13 - 18 years old,,,,,,,,1
9780743273565,The Great Gatsby,F. Scott Fitzgerald,,33.80,0743273567,,1st October 2004,Paperback,English,180,General Adult,9 - 12 years old,4 - 7,SCRIBNER BOOKS CO,US,19.68 x 13.34 x 1.27,0.16,,,
9780061739255,,,,,,,,,,,,,,,,,,,,
9780061804038,Barbarians at the Gate,Bryan Burrough,,6.99,0061804037,,13th October 2009,ePUB,English,624,General Adult,,,HarperCollins,,,,,,
9781407070049,Bones to Ashes,Kathy Reichs,,15.99,1407070045,Temperance Brennan  Book 10,27th April 2010,ePUB,English,464,General Adult,,,Random House,,,,10,,
9780547345901,The Giver,Lois Lowry,,5.99,0547345909,Giver Quartet  Book 1,1st January 2000,ePUB,English,192,Teenager/Young Adult,12 - 18 years old,7 - 12,HarperCollins,,,,1,,
9781282547674,Allotment Gardening for Dummies,Sven Wombwell,,,1282547674,,12th February 2010,E-Book,English,459,General Adult,,,For Dummies,US,,,,,
9781328662088,Play of Death,Oliver Potzsch,,,132866208X,Hangman's Daughter Tales,9th May 2017,Paperback,English,493,General Adult,,,Houghton Mifflin,US,20.3 x 13.5 x 3.8,0.42,,,
9780241383117,Bad Behavior,Mary Gaitskill,,15.99,0241383110,Penguin Modern Classics,2nd May 2019,ePUB,English,208,General Adult,,,Penguin Books Ltd,,,,,,
9780446179669,4th of July,James Patterson,,39.95,0446179663,The Women's Murder Club,1st July 2008,Paperback,English,400,General Adult,,,GRAND CENTRAL PUBL,US,20.32 x 13.97 x 2.54,0.32,,,
9781393267447,Summernight,Sarah K. L. Wilson,,,1393267440,Bridge of Legends  Book 1,27th August 2019,ePUB,English,,,,,?Sarah K. L. Wilson,,,,1,,
9780060882662,,,,,,,,,,,,,,,,,,,,
9780349401874,Air Bound,Christine Feehan,,7.99,034940187X,Sisters of the Heart  Book 3,27th May 2014,ePUB,English,400,General Adult,,,"Little, Brown Book Group",,,,3,Digital original,
9780230761230,,,,,,,,,,,,,,,,,,,,
9780241977613,The Man Who Saw Everything,Deborah Levy,,15.99,0241977614,,29th August 2019,ePUB,English,208,General Adult,,,Penguin Books Ltd,,,,,,
9780241984000,The Last,Hanna Jameson,,15.99,0241984009,,24th January 2019,ePUB,English,352,General Adult,,,Penguin Books Ltd,,,,,,
9780755387069,2nd Chance,James Patterson,,12.99,0755387066,Women's Murder Club  Book 2,23rd June 2011,ePUB,English,340,General Adult,,,Headline,,,,2,Digital original,
9780755385744,The Misfit,Rosie Goodwin,,11.99,0755385748,,10th May 2012,ePUB,English,313,General Adult,,,Headline,,,,,Digital original,
9781101533116,The Bride,Julie Garwood,17.14,13.99,1101533110,,7th June 2011,ePUB,English,1,,,,Penguin Publishing Group,,,,,,
9780007327645,"Dead Beat (PI Kate Brannigan, Book 1)",Val McDermid,,12.99,0007327641,PI Kate Brannigan  Book 1,22nd May 2009,ePUB,English,288,General Adult,,,HarperCollins Publishers,,,,1,,
9780648324652,Demon's Dance,Keri Arthur,,6.99,0648324656,The Lizzie Grace Series  Book 4,12th February 2019,ePUB,English,,,,,KA Publishing PTY LTD,,,,4,,
9780230739161,,,,,,,,,,,,,,,,,,,,
9781509865437,Hornet Flight,Ken Follett,,,1509865438,,30th January 2019,Paperback,English,592,General Adult,,,Pan Macmillan UK,AU,19.7 x 12.9 x 3.8,0.44,,,
9780141904108,Mrs Dalloway,Virginia Woolf,,10.99,0141904100,Penguin Modern Classics,25th May 2000,ePUB,English,288,General Adult,,,Penguin Books Ltd,,,,,,
9780141957074,The End,Ian Kershaw,,16.99,0141957077,,25th August 2011,ePUB,English,592,General Adult,,,Penguin Books Ltd,,,,,,
9781405519229,The Casual Vacancy,J.K. Rowling,,12.99,1405519223,,27th September 2012,ePUB,English,480,General Adult,,,"Little, Brown Book Group",GB,,,,Digital original,
9780230760653,,,,,,,,,,,,,,,,,,,,
9780356500959,Cold Days,Jim Butcher,,31.95,0356500950,Dresden Files,10th September 2013,Paperback,English,646,General Adult,,,Little Brown,GB,4.1 x 12.4 x 19.8,0.45,,,1
9780748124800,Shutter Island,Dennis Lehane,,11.99,0748124802,,21st October 2010,ePUB,English,304,General Adult,,,"Little, Brown Book Group",,,,,Digital original,
9780755371365,Whatever It Takes,Adele Parks,,12.99,0755371364,,21st June 2012,ePUB,English,377,General Adult,,,Headline,,,,,Digital original,
9780007338672,Sharpe's Gold,Bernard Cornwell,,12.99,0007338678,The Sharpe Series  Book 9,24th July 2009,ePUB,English,304,General Adult,,,HarperCollins Publishers,,,,9,,
9780141959238,The Ship,C.S. Forester,,15.99,0141959231,,5th October 2006,ePUB,English,256,General Adult,,,Penguin Books Ltd,,,,,,
9780755373260,Silent Scream (The Minneapolis Series Book 2),Karen Rose,,11.99,075537326X,Minneapolis Series  Book 2,13th May 2010,ePUB,English,544,General Adult,,,Headline,,,,2,Digital original,
9781301917099,Afghan Heat,Steve Stone,,5.18,1301917095,War in Afghanistan  Book 1,2nd February 2016,ePUB,English,,,,,Digital Dreams Publishing,,,,1,,
9780691189970,Narrative Economics,Robert J. Shiller,,,0691189978,,1st October 2019,ePUB,English,400,"College, Tertiary and University",,,Princeton University Press,,,,,,
9780755384808,The Book of Life,Deborah Harkness,,12.99,0755384806,All Souls,15th July 2014,ePUB,English,592,General Adult,,,Headline,,,,,Digital original,
9781405909914,Dark Watch,Clive Cussler,,14.99,1405909919,The Oregon Files  Book 3,5th July 2012,ePUB,English,496,General Adult,,,Penguin Books Ltd,,,,3,,
9780571323777,Grief Is the Thing with Feathers,Max Porter,14.29,12.99,0571323774,,15th September 2015,ePUB,English,96,General Adult,,,Faber & Faber,,,,,Main,1
9780761168935,Keep Your Brain Alive,Lawrence Katz,,24.25,0761168931,,2nd June 2014,Paperback,English,204,General Adult,,,Workman,US,24.8 x 16 x 4.5,0.14,,,1
9781250229786,Silver in the Wood,Emily Tesh,6.22,5.99,1250229782,The Greenhollow Duology  Book 1,18th June 2019,ePUB,English,,,,,Tor Publishing Group,,,,1,,
9780307414311,,,,,,,,,,,,,,,,,,,,
9780804179041,Uprooted,Naomi Novik,,,0804179042,,1st January 2015,E-Book,English,,General Adult,,,Random House Publishing Group,US,,,,,
9780241398333,A Short History of Brexit,Kevin O'Rourke,,15.99,0241398339,Pelican Books,31st January 2019,ePUB,English,320,General Adult,,,Penguin Books Ltd,,,,,,
9780007329052,Wedding Tiers,Trisha Ashley,,8.99,0007329059,,29th May 2009,ePUB,English,416,General Adult,,,HarperCollins Publishers,,,,,,
9780241321942,Absolute Friends,John le Carré,,15.99,0241321948,Penguin Modern Classics,27th September 2018,ePUB,English,464,General Adult,,,Penguin Books Ltd,,,,,,
9780575087491,Blood of Elves,Andrzej Sapkowski,,12.99,0575087498,The Witcher  Book 3,19th August 2010,ePUB,English,320,General Adult,,,Orion,,,,3,Digital original,
9781405519946,Promise of Blood,Brian McClellan,,11.99,1405519940,Powder Mage trilogy  Book 1,16th April 2013,ePUB,English,608,General Adult,,,"Little, Brown Book Group",,,,1,Digital original,
9780648264873,Keeping Up Appearances,Elizabeth Stevens,,,0648264874,,1st June 2018,ePUB,English,500,Teenager/Young Adult,15 - 18 years old,,Sleeping Dragon Books,,,,,,1
9780141938264,A Dark-Adapted Eye,Barbara Vine,,15.99,0141938269,,7th May 2009,ePUB,English,304,General Adult,,,Penguin Books Ltd,,,,,,
9780316230209,The Collector,John Fowles,,,0316230200,,1st December 2012,ePUB,English,320,General Adult,,,"Little, Brown and Company",,,,,Digital original,
9780141952000,Making Sense of the Troubles,David McKittrick,,18.99,0141952008,,29th November 2001,ePUB,English,416,General Adult,,,Penguin Books Ltd,,,,,,
9781310157202,Having You Is Never Enough (Forever and Ever #4),E. L. Todd,,,1310157200,Forever and Ever  Book 4,11th November 2015,ePUB,English,,,,,E. L. Todd,,,,4,,
9781405944038,Ambush,Geraint Jones,,15.99,140594403X,,12th December 2019,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9780575122796,Dune: The Gateway Collection,Frank Herbert,,59.99,057512279X,Gateway Essentials  Book 302,30th November 2012,ePUB,English,800,General Adult,,,Orion,,,,302,Digital original,
9780751555752,Never Somewhere Else,Alex Gray,,12.99,0751555754,DSI William Lorimer  Book 1,31st October 2013,ePUB,English,320,General Adult,,,"Little, Brown Book Group",,,,1,Digital original,
9780356509303,Sins of Empire,Brian McClellan,,12.99,0356509303,Gods of Blood and Powder  Book 1,7th March 2017,ePUB,English,640,General Adult,,,"Little, Brown Book Group",,,,1,Digital original,
9780544465619,Curious George Haunted Halloween,H. A. Rey,,2.99,054446561X,Curious George TV,17th June 2014,ePUB,English,24,,3 - 5 years old,,HarperCollins,,,,,,1
9780241404300,Don't Be Evil,Rana Foroohar,,16.99,0241404304,,7th November 2019,ePUB,English,256,General Adult,,,Penguin Books Ltd,,,,,,
9780752876788,Dreamer,Peter James,,,0752876783,,1st August 2005,Paperback,English,384,General Adult,,,Orion,GB,17.7 x 11.2 x 2.5,0.2,,,1
9780547769332,The Goodnight Train,June Sobel,,11.99,0547769334,The Goodnight Train,1st September 2006,ePUB,English,32,,3 - 5 years old,,HarperCollins,,,,,,1
9781393148548,Bullied,Vera Hollins,,4.29,1393148549,Bullied  Book 1,27th August 2019,ePUB,English,,,,,?Vera Hollins,,,,1,,
9780241961544,Survivor,Lesley Pearse,,15.99,0241961548,Belle,13th February 2014,ePUB,English,544,General Adult,0 - 2 years old,,Penguin Books Ltd,,,,,,
9780571338764,Milkman,Anna Burns,16.49,14.99,0571338763,,15th May 2018,ePUB,English,352,General Adult,,,Faber & Faber,,,,,Main,1
9780141910048,The Rotters' Club,Jonathan Coe,,15.99,0141910046,,28th May 2008,ePUB,English,416,General Adult,,,Penguin Books Ltd,,,,,,
9781841498959,Surface Detail,Iain M Banks,22.99,20.35,1841498955,Culture,31st May 2011,Paperback,English,640,General Adult,,,Little Brown,GB,4 x 13 x 19.8,0.52,,,1
9780241382929,Lessons in Stoicism,John Sellars,,14.99,0241382920,,5th September 2019,ePUB,English,96,General Adult,,,Penguin Books Ltd,,,,,,
9780241981320,Middle England,Jonathan Coe,,15.99,0241981328,,8th November 2018,ePUB,English,368,General Adult,,,Penguin Books Ltd,,,,,,
9780241283936,The Little Book of Hygge,Meik Wiking,,15.99,0241283930,,1st September 2016,ePUB,English,288,General Adult,,,Penguin Books Ltd,,,,,,
9780141972244,Call for the Dead,John le Carré,,15.99,0141972246,Penguin Modern Classics,3rd November 2011,ePUB,English,160,General Adult,0 - 2 years old,,Penguin Books Ltd,,,,,,
9780230754737,,,,,,,,,,,,,,,,,,,,
9781101623695,Turn the Ship Around!,L. David Marquet,,,1101623691,,16th May 2013,ePUB,English,240,,,,,,,,,,1
9780748122981,Abaddon's Gate,James S. A. Corey,,12.99,0748122982,Expanse  Book 3,4th June 2013,ePUB,English,560,General Adult,,,"Little, Brown Book Group",GB,,,3,Digital original,
9780141969190,The Girl You Left Behind,Jojo Moyes,,15.99,0141969199,,27th September 2012,ePUB,English,544,General Adult,,,Penguin Books Ltd,,,,,,
9780230743847,,,,,,,,,,,,,,,,,,,,
9780753545195,The Volunteer,Jack Fairweather,,18.99,0753545195,,27th June 2019,ePUB,English,528,General Adult,,,Ebury Publishing,,,,,,
9780330513173,"So Long, and Thanks for All the Fish",Douglas Adams,,,0330513176,,1st September 2009,ePUB,English,,,,,,,,,,,
9780857207296,How to Win Friends and Influence People in the Digital Age,Dale Carnegie Training,,12.99,0857207296,,29th September 2011,ePUB,English,272,General Adult,,,Simon & Schuster UK,,,,,,
9780307796103,Heir to the Empire,Timothy Zahn,,,0307796108,Star Wars The Thrawn Trilogy - Legends  Book 1,28th June 2011,ePUB,English,,,,,Random House Worlds,,,,1,,
9780141353975,Katy,Jacqueline Wilson,,9.99,014135397X,,30th July 2015,ePUB,English,320,Children,6 - 8 years old,,Penguin Random House Children's UK,,,,,,
9780230770096,,,,,,,,,,,,,,,,,,,,
9780857899767,False God of Rome,Robert Fabbri,7.49,6.99,0857899767,Vespasian  Book 3,1st January 2013,ePUB,English,300,General Adult,,,Corvus,,,,3,Digital original,1
9781405917902,Wish You Were Here,Catherine Alliott,,15.99,1405917903,,26th February 2015,ePUB,English,416,General Adult,,,Penguin Books Ltd,,,,,,
9781328561770,Splash and Bubbles,The Jim Henson Company,,,1328561771,Splash and Bubbles,25th December 2018,ePUB,English,,,3 - 5 years old,,HarperCollins,,,,,,
9780141963624,The Spy Who Came in from the Cold,John le Carré,,15.99,014196362X,Penguin Modern Classics,24th February 2011,ePUB,English,272,General Adult,,,Penguin Books Ltd,,,,,,
9780571336234,I Am Dynamite!,Sue Prideaux,16.49,14.99,057133623X,,2nd October 2018,ePUB,English,416,General Adult,,,Faber & Faber,,,,,,
9780141925912,The Blank Slate,Steven Pinker,,18.99,0141925914,,5th June 2003,ePUB,English,528,General Adult,,,Penguin Books Ltd,,,,,,
9780141347790,,,,,,,,,,,,,,,,,,,,
9780316436489,Billion Dollar Whale,Tom Wright,,23.99,0316436488,,18th September 2018,ePUB,English,400,General Adult,,,Hachette Books,,,,,Digital original,
9781405921824,The Penguin Lessons,Tom Michell,,14.99,140592182X,,5th November 2015,ePUB,English,288,General Adult,,,Penguin Books Ltd,,,,,,
9780748125715,The Secret Diaries Of Miss Anne Lister: Vol. 1,Anne Lister,,12.99,074812571X,Virago Modern Classics  Book 251,4th November 2010,ePUB,English,384,General Adult,,,"Little, Brown Book Group",,,,251,Digital original,
9780132100670,The Pragmatic Programmer,Andrew Hunt,,,0132100673,,20th October 1999,PDF,English,352,,,,,,,,,,
9780241188828,The Value of Everything,Mariana Mazzucato,,15.99,0241188822,,26th April 2018,ePUB,English,256,Professional and Scholarly,,,Penguin Books Ltd,,,,,,
9781370239290,Endgame,Chloe Walsh,,7.59,1370239297,Ocean Bay,23rd March 2023,ePUB,English,,,,,Chloe Walsh,,,,,,
9781405929813,Christmas with the Bomb Girls,Daisy Styles,,15.99,1405929812,The Bomb Girls  Book 3,19th October 2017,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,3,,
9781301652815,Auschwitz Escape,Danny Naten,,4.18,1301652814,,11th May 2015,ePUB,English,,,,,Danny Naten,,,,,,
9780814413470,Reinvention,Brian Tracy,,2.99,0814413471,,30th January 2009,ePUB,English,224,,,,AMACOM,,,,,,1
9781101585658,The Chaperone,Laura Moriarty,,,110158565X,,5th June 2012,ePUB,English,384,,,,,,,,,,
9780297857020,Heaven And Hell,Don Felder,,17.99,0297857029,,18th September 2008,ePUB,English,352,General Adult,,,Orion,,,,,Digital original,
9781310761898,,,,,,,,,,,,,,,,,,,,
9781101175293,The Art of Seduction,Robert Greene,,,110117529X,,7th October 2003,ePUB,English,,,,,Penguin Publishing Group,,,,,,
9780544553729,Little Blue Truck's Christmas,Alice Schertle,,,0544553721,,23rd September 2014,ePUB,English,,,0 - 2 years old,,HarperCollins,,,,,,
9780007320936,Child of the Phoenix,Barbara Erskine,,10.99,0007320930,,13th March 2009,ePUB,English,944,General Adult,,,HarperCollins Publishers,,,,,,
9780804141116,Surrender Experiment,Michael A Singer,,,0804141118,,1st January 2015,E-Book,English,,General Adult,,,Potter/Tenspeed/Harmony,US,,,,,
9780230760615,,,,,,,,,,,,,,,,,,,,
9780385528849,Night Shift,Stephen King,16.12,12.99,0385528841,,24th June 2008,ePUB,English,,,,,Knopf Doubleday Publishing Group,,,,,,
9780938045878,The Naked Warrior,Pavel Tsatsouline,14.66,13.99,0938045873,,1st December 2003,ePUB,English,218,,,,Dragon Door Publications,,,,,,
9781407068305,Out Of The Sun,Robert Goddard,,14.99,140706830X,,30th March 2010,ePUB,English,432,General Adult,,,Transworld,,,,,,
9780230768123,,,,,,,,,,,,,,,,,,,,
9780307490247,The Robots of Dawn,Isaac Asimov,,,0307490246,The Robot Series  Book 4,21st January 2009,ePUB,English,,,,,Random House Publishing Group,,,,4,,
9780544562363,The Fully Raw Diet,Kristina Carrillo-Bucaram,,34.99,0544562364,,5th January 2016,ePUB,English,272,,,,HarperCollins,,,,,,1
9780316183208,Eat to Live,Joel Fuhrman,,,0316183202,,5th January 2011,ePUB,English,400,General Adult,,,"Little, Brown and Company",,,,,Digital original,
9780241987803,State of the Union,Nick Hornby,,15.99,0241987806,,7th May 2019,ePUB,English,140,General Adult,,,Penguin Books Ltd,,,,,,
9780141927138,The Far Pavilions,M M Kaye,,15.99,0141927135,,1st January 2000,ePUB,English,960,General Adult,,,Penguin Books Ltd,,,,,,
9780755357222,The Blood Crows,Simon Scarrow,,11.99,0755357221,Eagles of the Empire  Book 98,24th October 2013,ePUB,English,448,General Adult,,,Headline,,,,98,Digital original,
9780943217123,The Tibetan Book of the Dead,Karma-glin-pa (Karma Lingpa),,4.39,0943217121,,13th September 2010,ePUB,English,,,,,Summum,,,,,,
9780061947353,,,,,,,,,,,,,,,,,,,,
9781304378088,The Pickwick Club,Charles Dickens,,,130437808X,,31st August 2013,ePUB,English,,,,,,,,,,,1
9780716022527,The Curry Secret,Kris Dhillon,,6.99,0716022524,,9th October 2009,ePUB,English,160,General Adult,,,"Little, Brown Book Group",,,,,Digital original,1
9780718186395,Trust No One,Anthony Mosawi,,15.99,0718186397,,1st June 2018,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9780141365855,,,,,,,,,,,,,,,,,,,,
9780575104181,Steelheart,Brandon Sanderson,,11.99,057510418X,The Reckoners,26th September 2013,ePUB,English,400,General Adult,,,Orion,,,,,Digital original,
9780755399611,A Liverpool Legacy,Anne Baker,,11.99,0755399617,,21st November 2013,ePUB,English,384,General Adult,,,Headline,,,,,Digital original,
9780141930961,A Load of Old Tripe,Gervase Phinn,,14.99,0141930969,,5th November 2009,ePUB,English,144,General Adult,0 - 2 years old,,Penguin Books Ltd,,,,,,
9780141185071,East of Eden,John Steinbeck,22.99,20.35,0141185074,Penguin Modern Classics,1st October 2003,Paperback,English,640,General Adult,,,Penguin UK,GB,20.5 x 13.5 x 2.5,0.45,,,1
9780748109258,Black Notice,Patricia Cornwell,,11.99,0748109250,Kay Scarpetta  Book 10,4th September 2008,ePUB,English,480,General Adult,,,"Little, Brown Book Group",,,,10,Digital original,
9780698140325,A Grave Matter,Anna Lee Huber,13.70,11.99,069814032X,A Lady Darby Mystery  Book 3,1st July 2014,ePUB,English,1,,,,Penguin Publishing Group,,,,3,,1
9781118968079,Value Proposition Design,,,41.79,1118968077,,20th October 2014,PDF,English,,,,,Wiley Professional Development (P&T),,,,,,1
9780241396940,,,,,,,,,,,,,,,,,,,,
9780753546413,The Ancient Secret of the Fountain of Youth,Peter Kelder,,18.99,0753546418,,6th October 2011,ePUB,English,128,General Adult,,,Ebury Publishing,,,,,,
9780525520375,There There,Tommy Orange,,63.25,0525520376,,5th June 2018,Hardcover,English,304,General Adult,,,KNOPF,US,21.59 x 15.24 x 2.54,0.45,,,
9781405937085,The Grey Ghost,Clive Cussler,,15.99,1405937084,Fargo Adventures  Book 10,31st May 2018,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,10,,
9781407039206,Deep Black,Andy McNab,,15.99,1407039202,Nick Stone  Book 7,2nd October 2008,ePUB,English,512,General Adult,,,Transworld,,,,7,,
9780718186111,The Marriage Pact,Michelle Richmond,,15.99,0718186117,,27th July 2017,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9780241283523,No Way Out,Cara Hunter,,15.99,0241283523,DI Fawley  Book 3,22nd March 2019,ePUB,English,384,General Adult,,,Penguin Books Ltd,,,,3,,
9780755375523,The Family,Martina Cole,,11.99,0755375521,,14th October 2010,ePUB,English,300,General Adult,,,Headline,,,,,Digital original,
9780544444683,Atelier Crenn,Dominique Crenn,72.59,58.99,054444468X,,1st June 2018,ePUB,English,376,,,,Houghton Mifflin Harcourt,,,,,,1
9780330514750,Gallows View,Peter Robinson,,,033051475X,,21st August 2009,ePUB,English,,,,,,,,,,,
9780141353111,,,,,,,,,,,,,,,,,,,,
9780748116393,From The Dead,Mark Billingham,,11.99,0748116397,Tom Thorne Novels  Book 9,19th August 2010,ePUB,English,352,General Adult,,,"Little, Brown Book Group",,,,9,Digital original,
9781405525848,Ancillary Justice,Ann Leckie,,12.99,1405525843,Imperial Radch  Book 1,1st October 2013,ePUB,English,432,General Adult,,,"Little, Brown Book Group",,,,1,Digital original,
9780241281130,Transcendence,Gaia Vince,,16.99,024128113X,,7th November 2019,ePUB,English,320,General Adult,,,Penguin Books Ltd,,,,,,
9781405512008,Waylander,David Gemmell,,11.99,1405512008,Drenai  Book 3,1st December 2011,ePUB,English,384,General Adult,,,"Little, Brown Book Group",,,,3,Digital original,
9780141983493,Marx and Marxism,Gregory Claeys,,14.99,0141983493,Pelican Books,5th April 2018,ePUB,English,256,Professional and Scholarly,,,Penguin Books Ltd,,,,,,
9780141906003,Black Diamonds,Catherine Bailey,,15.99,0141906006,,6th March 2008,ePUB,English,544,General Adult,,,Penguin Books Ltd,,,,,,
9780241355244,Frostheart,Jamie Littler,,9.99,0241355249,Frostheart,3rd October 2019,ePUB,English,209,Children,6 - 8 years old,,Penguin Random House Children's UK,,,,,,
9780547370224,Animal Farm,George Orwell,,4.79,0547370229,,1st July 2009,ePUB,English,,,12 - 18 years old,,HarperCollins,,,,,,
9780857896384,Better Than Easy,Nick Alexander,,5.99,0857896385,50 Reasons Series  Book 2,1st August 2011,ePUB,English,300,General Adult,,,Corvus,,,,2,Digital original,
9781927100158,Winter of the Crystal Dances,Angela Dorsey,,0.00,1927100151,Whinnies on the Wind  Book 1,15th March 2016,ePUB,English,,,9 - 12 years old,,Enchanted Pony Books,,,,1,,
9780091816971,Who Moved My Cheese?,Spencer Johnson,19.99,18.25,0091816971,,1st April 1999,Paperback,English,96,General Adult,18+ years old,,RANDOM HOUSE UK,GB,19.5 x 13 x 0.5,0.08,,,1
9780230771437,,,,,,,,,,,,,,,,,,,,
9781407021010,Brave New World,Aldous Huxley,,15.99,140702101X,,26th December 2008,ePUB,English,272,General Adult,,,Random House,,,,,,
9780241957493,The Aftermath,Rhidian Brook,,15.99,0241957494,,2nd May 2013,ePUB,English,336,General Adult,,,Penguin Books Ltd,,,,,,
9780141956831,Over Hill and Dale,Gervase Phinn,,15.99,0141956836,,29th March 2001,ePUB,English,352,General Adult,,,Penguin Books Ltd,,,,,,
9780755351985,The One You Really Want,Jill Mansell,,11.99,0755351983,,10th February 2008,ePUB,English,300,General Adult,,,Headline,,,,,Digital original,
9780141916231,A Friend of the Family,Lisa Jewell,,15.99,0141916230,,4th August 2005,ePUB,English,432,General Adult,,,Penguin Books Ltd,,,,,,
9780743492621,State of the Union,Brad Thor,,9.99,0743492625,The Scot Harvath Series,27th January 2004,ePUB,English,352,General Adult,,,Atria Books,,,,3,,
9780755387298,The 6th Target,James Patterson,,4.99,0755387295,Women's Murder Club  Book 6,28th April 2011,ePUB,English,338,General Adult,,,Headline,,,,6,Digital original,
9780748130825,Skin Game,Jim Butcher,,12.99,0748130829,Dresden Files  Book 15,27th May 2014,ePUB,English,464,General Adult,,,"Little, Brown Book Group",,,,15,Digital original,
9781473563742,The Warehouse,Rob Hart,,15.99,1473563747,,13th August 2019,ePUB,English,368,General Adult,,,Transworld,,,,,,
9780241985441,The Missing Sister,Dinah Jefferies,,15.99,0241985447,,28th February 2019,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9780241981115,Be More Pirate,Sam Conniff Allende,,15.99,0241981115,,3rd May 2018,ePUB,English,320,General Adult,,,Penguin Books Ltd,,,,,,
9780786752164,Why Does E=mc2?,Brian Cox,,13.99,0786752165,,14th July 2009,ePUB,English,264,General Adult,,,Hachette Books,,,,,Digital original,
9780785182979,Spider-Man,Dan Slott,21.99,17.99,0785182977,,3rd September 2014,ePUB,English,,,,,Marvel Entertainment,,,,,,
9780575088498,Flowers For Algernon,Daniel Keyes,,9.99,0575088494,S.F. MASTERWORKS  Book 6,15th November 2012,ePUB,English,224,General Adult,,,Orion,,,,6,Digital original,
9780525542506,Endangered,C J Box,,,0525542507,Joe Pickett,14th May 2019,Paperback,English,400,General Adult,,,G.P. Putnam's Sons,,20.96 x 13.97 x 1.91,0.31,,,
